t_lag,D_wx,D_wy,D_wz,D_ty,D_tz,D_wty,D_wtz
0.0,2.9306578479843218e-09,2.521285235330538e-09,2.545704812424282e-09,1.42325612628785e-09,3.585594227431862e-09,2.259745902118808e-11,5.3194224197988085e-11
0.15,2.8790114474781555e-09,2.501838242486094e-09,2.5049982962469077e-09,-1.8744755879389206e-10,-3.80245775942748e-10,2.8052282182829145e-12,9.968079631279166e-12
0.3,2.7851837284127355e-09,2.4903277101754077e-09,2.477561285325354e-09,-6.422353693968056e-10,-2.2826437491519205e-09,-9.153164036061174e-12,-3.718222871862815e-11
0.44999999999999996,2.6664461083673757e-09,2.5021300804865173e-09,2.508092687341602e-09,-5.696601716207441e-11,1.061081858791375e-10,-4.664845271417048e-12,-1.8725482191610207e-11
0.6,2.5343883575842013e-09,2.5072962906058445e-09,2.5262920758711724e-09,5.066554996567973e-10,1.466747668631505e-09,5.674191058651236e-12,2.3352088651009895e-11
0.75,2.405182107703874e-09,2.4973154758603444e-09,2.501304317072653e-09,-2.436219044698311e-10,-5.640787184125218e-12,5.572394940856986e-13,1.2336668097487882e-11
0.8999999999999999,2.287071583805544e-09,2.494060558668115e-09,2.4902192799027225e-09,-4.4086008361963277e-10,-1.0380085829019596e-09,-6.707734979234661e-12,-1.6963911050512764e-11
1.05,2.2275645048779907e-09,2.51023324321997e-09,2.521422288734604e-09,4.83805637774376e-10,5.388701478723692e-11,6.963637845457307e-12,4.446378359684072e-12
1.2,2.2201678509629407e-09,2.5070753345252504e-09,2.5147204468482602e-09,2.6137812231669356e-10,8.231672132622416e-10,3.681793730238176e-12,4.758442723950243e-12
1.3499999999999999,2.2602974679578907e-09,2.4945203268667654e-09,2.488723280435457e-09,-2.484929906218381e-10,-1.2909874379066693e-10,-5.995554768114049e-13,-1.2156796805375872e-11
1.5,2.333747614268323e-09,2.4984363089169615e-09,2.4982981116024122e-09,-2.963727503053553e-10,-9.046503606832313e-10,-3.0066650617442842e-12,-5.795962752684165e-12
1.65,2.4374743581573707e-09,2.507150245556044e-09,2.522319242300396e-09,2.579757168531463e-10,2.177581219943725e-10,6.8759481671967345e-12,1.4557643485577285e-11
1.7999999999999998,2.585377008372072e-09,2.5037947657108738e-09,2.5133259792416656e-09,8.51045691820406e-11,7.399488268642573e-10,1.3069361495778118e-12,6.815524444031634e-12
1.95,2.720596277271893e-09,2.4927755943959816e-09,2.486593521417189e-09,-3.0083402659517653e-10,-2.9127355982594895e-10,-9.164186669587397e-12,-1.8782704272519476e-11
2.1,2.820576948391858e-09,2.5013659649883733e-09,2.5033749203876005e-09,5.088179876743853e-11,-3.8607083615001767e-10,8.595651720495658e-13,-2.457354942289018e-12
2.25,2.875027972066139e-09,2.50706864179261e-09,2.5178086618269502e-09,2.501145438573731e-10,5.629933846456163e-11,1.8829176202158277e-12,4.571901246874726e-12
2.4,2.8776721129911245e-09,2.498774944742547e-09,2.5023590794717596e-09,-1.2418894423057473e-10,-5.243274076308402e-11,2.7308799210408366e-12,4.070676442163302e-12
2.55,2.8307334296436365e-09,2.497538148195704e-09,2.4953419177768943e-09,-1.220429441320195e-10,2.535001863022404e-10,-2.220277033157443e-12,-1.0090223079655498e-11
2.6999999999999997,2.7173875814779863e-09,2.5046153655453663e-09,2.5105527761850696e-09,1.9205026264758306e-10,2.913682209521077e-10,1.4787484762485508e-12,2.0055605243825602e-12
2.85,2.5802651257227676e-09,2.5061506211429994e-09,2.512600422613524e-09,1.1726179641259717e-10,-2.4605827095181773e-10,7.506697823831471e-12,1.3874185005132273e-11
3.0,2.439370969615946e-09,2.4950296195994334e-09,2.490339548691246e-09,-3.697070057306915e-10,-6.952061088063489e-10,-1.0126339777823692e-11,-2.3563365074503235e-11
3.15,2.328801994815163e-09,2.4982899938314826e-09,2.4988940755190144e-09,9.258723056472191e-11,3.3179019709490044e-10,1.2616049205419965e-12,-6.336473783998288e-12
3.3,2.250126411678084e-09,2.5057743104241316e-09,2.5151406721078853e-09,2.927427754374417e-10,8.097967605272198e-10,3.3373586090186543e-12,2.3000247625114472e-11
3.4499999999999997,2.194101079697484e-09,2.5000667161758922e-09,2.506776274188096e-09,-5.654767153600896e-11,-1.698203183339068e-10,1.657635559189486e-12,1.6134996527177684e-11
3.5999999999999996,2.198845742558247e-09,2.4981139676900604e-09,2.495996835807428e-09,-2.0129751042904123e-10,-7.419592146145974e-10,-1.4744303645288345e-12,-2.7346103619207012e-11
3.75,2.258757163203139e-09,2.501795302507965e-09,2.4989011601398394e-09,8.807381155669012e-11,1.8161021078829634e-10,-3.484580781534075e-12,-2.0781430748952235e-11
3.9,2.3594451354835252e-09,2.504447913956389e-09,2.5066272448725845e-09,2.421522234107333e-10,7.676908564930318e-10,9.551267224778333e-12,2.756061545392899e-11
4.05,2.478526688153933e-09,2.498144445841315e-09,2.4986567890313733e-09,-2.443029813826835e-10,-6.289597112610654e-10,-6.354828615961543e-12,4.439487780876685e-12
4.2,2.6010872131111904e-09,2.498200286129944e-09,2.5015769708031182e-09,-6.776129204924933e-11,-4.919611450110985e-10,-1.454729271122839e-12,-8.289076158793e-12
4.35,2.726195308164582e-09,2.503693687552475e-09,2.5084022925251183e-09,7.223554973506526e-11,7.962124119086426e-10,-2.634914228598945e-13,1.6713014746367496e-12
4.5,2.8173615333427703e-09,2.5006477801666017e-09,2.5012214365363545e-09,1.7052286465582035e-10,3.504853004909448e-10,2.910898913027538e-12,7.93722693221788e-12
4.6499999999999995,2.852826532655708e-09,2.497992957148872e-09,2.4943455549905556e-09,-2.1126067425261948e-10,-5.796269315667755e-10,4.872406393096346e-13,-2.9756221500662116e-13
4.8,2.8179037348418614e-09,2.499296892216653e-09,2.4962389000576228e-09,-8.904208676811264e-11,-5.618431771568529e-10,-6.342825782171389e-12,-2.4186559889933416e-11
4.95,2.7313099255447122e-09,2.5032877974087625e-09,2.5074415687722397e-09,1.6736900347771651e-10,1.9399675820262893e-10,2.9941443142266976e-12,4.132985129063501e-12
5.1,2.623750926927809e-09,2.5005245356912347e-09,2.503704280405472e-09,8.43126021585596e-11,7.810511152527852e-10,2.729818149438475e-12,2.6639358499240305e-11
5.25,2.489137558445509e-09,2.4979870934652453e-09,2.497973160187377e-09,-3.352484420718432e-11,2.357594642191793e-10,4.1640329339787726e-12,1.498656396072446e-11
5.3999999999999995,2.3574427750505173e-09,2.501983969538559e-09,2.498864233212615e-09,-3.013954096092174e-11,-8.459676857522379e-10,-4.504800178254065e-12,-3.0782365019296053e-11
5.55,2.248498080041116e-09,2.499189524371155e-09,2.494511691017145e-09,-1.0221425734368409e-10,-7.136606858997954e-10,-9.142393749849601e-12,-3.878936461226242e-11
5.7,2.1884288519641103e-09,2.49712930057841e-09,2.4965369212078463e-09,-8.561057359375558e-11,8.709303114795626e-10,3.847145531707531e-12,3.061039271228162e-11
5.85,2.1755159450982053e-09,2.5010737960675316e-09,2.5045802481910914e-09,8.419689877681982e-11,5.410334861104375e-10,5.265041827638845e-12,3.6548998125667556e-11
6.0,2.199322533484343e-09,2.502613153738053e-09,2.5058535412284633e-09,2.40235758731794e-10,-1.561570324799488e-10,-1.5807277516446416e-12,-1.1135568078677533e-11
6.1499999999999995,2.268591820119618e-09,2.4987693276393396e-09,2.4916978703334553e-09,-1.8568530317119078e-10,-7.607808200608842e-10,-5.315791654746226e-12,-4.2623396699313786e-11
6.3,2.3727890340671797e-09,2.4965577231890125e-09,2.490141318480365e-09,-9.062091109751107e-11,-4.95111915092137e-11,2.32653298726244e-12,7.851180227376546e-12
6.45,2.5051043681569678e-09,2.5029723989313894e-09,2.50527688041021e-09,1.7189824563062656e-10,9.13189202056316e-10,1.0463375777839536e-11,4.383351476429219e-11
6.6,2.6325703727508424e-09,2.5021381713392717e-09,2.5030416778455317e-09,1.6727254888616819e-10,-2.4976397265981097e-11,-6.261912420194464e-12,-7.287095863086578e-12
6.75,2.7275160247339924e-09,2.4951671737380343e-09,2.4912091000127186e-09,-2.986882790702669e-10,-1.0516467137895793e-09,-7.1438897257799994e-12,-3.0397101743942836e-11
6.8999999999999995,2.7900402436924435e-09,2.497135349821206e-09,2.4946419013750444e-09,-1.7957230442721264e-10,2.2234173930004238e-10,-1.3777683796600356e-12,-2.431978324687796e-12
7.05,2.8008106540144756e-09,2.502966830395171e-09,2.506056598434759e-09,3.837254914315977e-10,1.0906678542167888e-09,3.360652448731344e-12,3.7284180593717094e-11
7.199999999999999,2.7524926538534183e-09,2.5009225013134777e-09,2.4968780035316943e-09,5.1788046264230154e-11,-3.4546532484731854e-10,1.2304194197805477e-12,-1.0786996725599964e-11
7.35,2.6524279653411343e-09,2.495881650763531e-09,2.4861429521872723e-09,-2.34576556202387e-10,-1.1753022172663288e-09,-4.34451984288009e-12,-3.971130557745205e-11
7.5,2.525014542733869e-09,2.499564393421594e-09,2.4992768544764214e-09,-9.059768834476921e-11,4.755364474029354e-10,8.824222536788809e-12,3.708840506824988e-11
7.6499999999999995,2.401793442979351e-09,2.5026780460360828e-09,2.5081543671557015e-09,3.9047047385414366e-10,1.1366423714844274e-09,-9.965090129041445e-14,3.6975551585189126e-11
7.8,2.2918610601823815e-09,2.4968823311824497e-09,2.4946878261772872e-09,-1.5599501501051797e-10,-3.4926491310427287e-10,-1.1131910549425776e-11,-3.109266523518082e-11
7.949999999999999,2.210405406781958e-09,2.4942969529260247e-09,2.483577904427703e-09,-4.340715483858621e-10,-1.0829503181117911e-09,-1.2432610212532633e-11,-4.7713001584570694e-11
8.1,2.1604137182229836e-09,2.5007345896723367e-09,2.4987326778790246e-09,1.3508684355510262e-10,6.042653883066314e-11,4.945265633046543e-12,2.7566646304485136e-11
8.25,2.1633156565077825e-09,2.5046139922717398e-09,2.5074917263829717e-09,3.9583334295777945e-10,1.0455387722359378e-09,1.804071140229053e-11,5.2421110942487424e-11
8.4,2.2160843495545337e-09,2.4977823522350436e-09,2.491314217219675e-09,-4.660571585722636e-11,2.177099465298212e-11,-2.2397624935915555e-12,-1.5796039195265167e-11
8.549999999999999,2.3025637057341673e-09,2.495598681906476e-09,2.487815493111956e-09,-3.108121740339126e-10,-9.31951092804851e-10,-9.20599786729749e-12,-3.6810048304516334e-11
8.7,2.4117478073386945e-09,2.5006239820509484e-09,2.501556421203308e-09,1.293710480391759e-10,1.3801804141938934e-10,-9.927761847154063e-13,5.036320223932342e-12
8.85,2.5303031265278646e-09,2.4997046923605567e-09,2.5022627302735705e-09,1.0017038745898563e-10,7.620273335730766e-10,-2.627346810116613e-12,2.3350478493445282e-11
9.0,2.6497014421199203e-09,2.4967669100942307e-09,2.487236169972997e-09,-2.0759584824714016e-10,-3.006014533318773e-10,2.046791312997378e-12,-1.5847892596104105e-12
9.15,2.738923583548212e-09,2.4975783480785433e-09,2.4882478489013194e-09,-1.7080547637292252e-11,-5.404354950196507e-10,-4.856768844734252e-12,-1.3179533303572173e-11
9.299999999999999,2.77605416416751e-09,2.501739212391225e-09,2.5054516172296895e-09,1.228962280127526e-10,2.5908185037490495e-10,3.3084688786999842e-12,1.7770636098195366e-11
9.45,2.755884584221334e-09,2.500519621694365e-09,2.5029131997929527e-09,1.9141512051424172e-10,5.833179916137103e-10,8.393539461401737e-12,1.093620918996573e-11
9.6,2.6851687570340116e-09,2.494810289043719e-09,2.4862290386397088e-09,-1.8716206832408557e-10,4.500230500463505e-11,-9.32225338363763e-12,-1.968806282044423e-11
9.75,2.586630812982187e-09,2.4973382451663877e-09,2.4876958153259833e-09,-1.2523737927358212e-10,-6.948803446674335e-10,-7.03044115738076e-12,-7.438258382837201e-12
