t_lag,D_wx,D_wy,D_wz,D_ty,D_tz,D_wty,D_wtz
0.0,2.5046372220540927e-09,2.688715721644172e-09,2.562628298090604e-09,7.926038022352311e-09,5.204776026821153e-09,3.418217299342775e-10,2.141620477682996e-10
0.15,2.5040906941602285e-09,2.4923541694705905e-09,2.5201692425639753e-09,9.487207447787268e-10,2.0029609142363918e-10,-2.0441064743470574e-11,5.2309350646619116e-11
0.3,2.5039932731518845e-09,2.4686214267945015e-09,2.472084679659748e-09,-2.2288234360479215e-09,-1.740232824909859e-09,-1.013502074187492e-10,-1.210818392210531e-10
0.44999999999999996,2.5038600848407615e-09,2.497206704407812e-09,2.486180091421449e-09,-2.552400748644401e-09,-7.399244511467104e-10,-1.2462732270785584e-12,-7.812722531171672e-11
0.6,2.50355066366498e-09,2.385363780130155e-09,2.509903003235133e-09,-3.2924451572447206e-09,4.0485892963320297e-10,-2.6912372813210967e-10,1.2070620671149315e-11
0.75,2.5036192249075537e-09,2.523813320922387e-09,2.5016371942682223e-09,5.960417750922275e-10,-9.826708712027787e-10,-2.3870095097820658e-11,-1.8569830786181505e-11
0.8999999999999999,2.5034293194787953e-09,2.526045278257142e-09,2.503122093523949e-09,2.305761076986939e-09,-3.730269166158391e-10,1.7451458372574807e-10,-4.113025904697237e-12
1.05,2.503352643599268e-09,2.516920208501032e-09,2.5305511803798682e-09,7.676381726844734e-10,2.1424901186187414e-09,7.516899990765574e-11,1.0917904034943e-10
1.2,2.5033757738187526e-09,2.6013592617566903e-09,2.529733057144789e-09,2.8393520250257075e-09,1.3786746947118749e-09,2.542313984041156e-10,1.087488885960694e-10
1.3499999999999999,2.5032020608367373e-09,2.468281044194142e-09,2.4859852512856944e-09,-9.314961729618257e-10,-1.3141627444203551e-09,-1.4103546593535844e-10,-8.952606488204413e-11
1.5,2.5030483925127075e-09,2.4472516956801964e-09,2.473745423032459e-09,-3.003557856894646e-09,-2.078093825311616e-09,-3.3696182196993015e-10,-1.3496848222358815e-10
1.65,2.5028942239825057e-09,2.499674555298193e-09,2.505085933113488e-09,-3.3930980000305987e-10,8.250871698487947e-11,6.817312717297227e-11,8.686400664773267e-12
1.7999999999999998,2.502711314996056e-09,2.441484449146255e-09,2.515307971938338e-09,-1.653483895830119e-09,3.4620804704689117e-10,-1.8202422173471696e-11,4.1610829039756885e-11
1.95,2.502562278763622e-09,2.5001915234701227e-09,2.5036451087863805e-09,1.0087519450848862e-09,-2.002570223472974e-10,8.638439248543316e-11,-1.2794926511336246e-11
2.1,2.502496588550006e-09,2.5657576535245753e-09,2.512629527007753e-09,3.781943905389995e-09,5.590363063283522e-10,2.4173873421927533e-10,3.569511732221899e-11
2.25,2.50232388028185e-09,2.513047534304895e-09,2.523707063834814e-09,3.873104979074927e-10,1.609866803682743e-09,-1.0001712778125016e-10,8.570632723923264e-11
2.4,2.5021793374648834e-09,2.525947988205564e-09,2.500793376241365e-09,-7.34375947431641e-10,-3.3818161473050386e-10,7.093578836276536e-12,-1.9828007942617603e-11
2.55,2.502085443819051e-09,2.484763845216594e-09,2.471430048073418e-09,-2.334100526505775e-09,-1.8825043553518195e-09,-7.821672712739523e-11,-1.3742826842547327e-10
2.6999999999999997,2.5018137220662253e-09,2.4191835462243935e-09,2.4899545434081053e-09,-2.693813184549826e-09,-1.0671923382587945e-09,-2.459982276419541e-10,-6.101870924065417e-11
2.85,2.5017152555253213e-09,2.5213904663259073e-09,2.527467941439844e-09,2.308920593903456e-09,1.4433559603115835e-09,1.5124868686080044e-10,9.119300448370939e-11
3.0,2.5014129754522243e-09,2.498939862096871e-09,2.519177268451995e-09,1.5185469761481994e-09,4.587078721450129e-10,8.376175370613699e-11,6.234756521662957e-11
3.15,2.5012469775800054e-09,2.4824311465421766e-09,2.492249007474503e-09,-6.902772572132735e-12,-5.092052477815224e-10,2.3169058650435356e-11,-2.1035936167391777e-11
3.3,2.501261857548585e-09,2.5787157940846253e-09,2.4975711332928968e-09,1.2424536963395698e-09,3.317330602521958e-10,1.7983685919059735e-10,-1.553812690502384e-11
3.4499999999999997,2.5010861078002434e-09,2.487567812161027e-09,2.5108566292304435e-09,-1.5233178133977598e-09,1.9478604547501495e-10,-9.619632643394e-11,1.0261531167797846e-11
3.5999999999999996,2.5011629648903787e-09,2.4865468044945757e-09,2.497771426166473e-09,-1.5880655663706243e-09,-7.207258400200807e-10,-1.6394952836489074e-10,-4.6489753112406516e-11
3.75,2.5010135334971216e-09,2.5158671969589005e-09,2.483023218887034e-09,8.871204179268719e-11,-1.418777098780164e-09,-2.248933340992161e-11,-8.30200533753486e-11
3.9,2.500866749955973e-09,2.4262022235700616e-09,2.499376167921723e-09,-1.1051203884028578e-09,2.814252076367848e-10,-9.99395842941251e-11,-1.7814463061598637e-11
4.05,2.5008070841759187e-09,2.525618648696615e-09,2.5218078897532023e-09,2.3050232056541076e-09,1.2661219259241162e-09,1.7871052805518124e-10,8.925384345366544e-11
4.2,2.5004942284191478e-09,2.5196669918128274e-09,2.5100281886497925e-09,1.7999301340683577e-09,6.220782167721913e-10,1.859103758524274e-10,5.903741891691163e-11
4.35,2.5002984794374212e-09,2.466861933970092e-09,2.4900740054165866e-09,-9.430989535185292e-10,-2.605617495416e-10,-1.149184807348842e-10,-3.023548977619977e-11
4.5,2.500158804149981e-09,2.569537950393319e-09,2.4950898570547255e-09,1.2984406652059723e-10,-1.8982533453837119e-10,3.792607898327508e-11,-4.4627125307278895e-11
4.6499999999999995,2.4999601971122907e-09,2.4921052522107793e-09,2.4995975625499073e-09,-1.5688768565556254e-09,-1.4202064368631652e-10,-2.0099551369881743e-11,-3.529565617051174e-11
4.8,2.499808643119221e-09,2.4624741940006577e-09,2.491744719204768e-09,-2.0707533263031767e-09,-6.230662545443207e-10,-2.2813237387709676e-10,-5.302656050939324e-11
4.95,2.4997309536971072e-09,2.519295455537606e-09,2.4952616582561286e-09,1.7086378706468528e-09,-3.196608546729279e-10,7.495889619604756e-11,-2.5299442306682256e-11
5.1,2.499489914677292e-09,2.4601053943617776e-09,2.5124770253180636e-09,5.543795358143564e-10,1.1330767962724564e-09,1.8216096885418265e-11,6.275718707936235e-11
5.25,2.499283663402429e-09,2.511902440622854e-09,2.5166877277648607e-09,1.7516631882813036e-09,1.0209229614450206e-09,9.844466007537266e-11,1.0472131359406724e-10
5.3999999999999995,2.499141397297624e-09,2.5292977077314773e-09,2.4956099125677833e-09,8.809094627960435e-10,-2.0718096831934558e-10,1.7471118764898588e-10,1.2018524206829218e-11
5.55,2.4988475009436865e-09,2.470196733139919e-09,2.482523977348378e-09,-2.2826476525526316e-09,-7.166703063718285e-10,-2.0980327955681927e-10,-9.892019409929622e-11
5.7,2.498772965927485e-09,2.5398717955873186e-09,2.497061622045989e-09,-7.042084661646967e-10,-3.994809659490345e-10,-2.85748889680972e-11,-5.979843758237162e-11
5.85,2.4986450199880245e-09,2.5016580853414373e-09,2.503263400349713e-09,-3.791116246236492e-10,-2.16987593184388e-10,2.805363919730996e-11,8.80967007495622e-12
6.0,2.4984905274657918e-09,2.447989412447019e-09,2.492817631073229e-09,-1.1533003258297153e-09,-3.503230846773277e-10,-1.8296538749178526e-10,-1.8702194909456546e-11
6.1499999999999995,2.49860918466363e-09,2.5334012799473043e-09,2.4979398685079384e-09,2.708147385942331e-09,6.129998884197266e-10,2.0976543027328365e-10,1.512518833249397e-11
6.3,2.4984137407283217e-09,2.4968527331814893e-09,2.5150009610778468e-09,1.3751149962305904e-09,9.665315877651236e-10,9.834913831652899e-11,1.0313581134432486e-10
6.45,2.4983914250730514e-09,2.4810241580786366e-09,2.510374942788495e-09,-2.6953598862432275e-10,5.690725024133661e-10,-1.0889211567998837e-10,7.816605203448787e-11
6.6,2.4982805899910087e-09,2.5294324278881366e-09,2.484426568427961e-09,-3.139852641605628e-10,-4.728832016749603e-10,3.844133069653758e-11,-7.444524884106601e-11
6.75,2.498134505373734e-09,2.474324877593558e-09,2.4757589814131232e-09,-2.489143068101417e-09,-1.177325051093798e-09,-1.8567071188889053e-10,-1.5377188512205512e-10
6.8999999999999995,2.4981169369688612e-09,2.5127217710115656e-09,2.4985210852406355e-09,-7.315661192758374e-10,-4.618169642771612e-10,8.816786037951626e-12,-2.016458093590188e-11
