t_lag,D_wx,D_wy,D_wz,D_ty,D_tz,D_wty,D_wtz
0.0,2.7598952384112092e-09,2.7222293884429475e-09,3.0066994762273344e-09,1.2936641125846832e-08,6.414969840025661e-09,-1.6798484254438192e-10,-6.92490043632081e-11
0.15,2.7580753463614817e-09,2.6470396119532196e-09,2.848718383344133e-09,7.947758410369473e-09,2.1479337207348653e-09,-9.566995465220975e-11,-2.5970178191899056e-11
0.3,2.756577379492728e-09,2.498419537031172e-09,2.7579527092564617e-09,-2.1066217017996728e-10,-9.214622811559546e-10,2.7123924626047675e-11,4.457463448749135e-12
0.44999999999999996,2.7553156046134214e-09,2.3874395966840443e-09,2.7712986965326906e-09,-6.825281985258752e-09,-3.785760656985834e-09,1.1564828486331025e-10,4.275831956880987e-11
0.6,2.7547401129536657e-09,2.3808472958903852e-09,2.6868718813998497e-09,-7.1336668328581625e-09,-3.172505593267196e-09,1.0780172679536701e-10,6.283317448450181e-11
0.75,2.7541755419353657e-09,2.478476055179914e-09,2.7043611245119133e-09,-1.278510526456505e-09,-9.237100424768087e-10,7.612809913406032e-12,2.38388281627663e-11
0.8999999999999999,2.7535086986422748e-09,2.6119031768517756e-09,2.759674422848691e-09,6.289430130543665e-09,1.8184448630252854e-09,-1.3045140007834525e-10,-4.0244554022534274e-13
1.05,2.7524046739350785e-09,2.677190878020354e-09,2.7317564079468695e-09,9.968644950269813e-09,3.973267780783903e-09,-2.0696867768540862e-10,-3.498655595944605e-11
1.2,2.750412385320867e-09,2.624661253286788e-09,2.707967845660369e-09,6.811261223849515e-09,2.693782325371391e-09,-1.650954063738663e-10,-5.211194834108601e-11
1.3499999999999999,2.7480737951879545e-09,2.4997721030241254e-09,2.602730657599603e-09,-2.684347342123189e-10,-6.023014502121882e-10,-3.862983334875373e-11,-1.4960366312343028e-12
1.5,2.746055689013488e-09,2.396208910468417e-09,2.5470250985648695e-09,-6.35701634521961e-09,-3.546416359410641e-09,8.015714284668747e-11,4.519740891640918e-11
1.65,2.7444304504254756e-09,2.3828684727927115e-09,2.545381589243997e-09,-7.167447539992736e-09,-2.8405947844222616e-09,1.174834335606229e-10,5.864151057771189e-11
1.7999999999999998,2.742894877154768e-09,2.4624258978318133e-09,2.520095543584879e-09,-2.4868498677653877e-09,-7.255620784809509e-10,4.0351368523368356e-11,5.5312936102679334e-11
1.95,2.7408908395026283e-09,2.578055857714947e-09,2.5977306260103818e-09,4.043178958854219e-09,1.628266422949661e-09,-1.0569208022433309e-10,1.0380633048708263e-11
2.1,2.7387567965160914e-09,2.6416272185969132e-09,2.621551520716058e-09,7.646938145863028e-09,2.6512114118085724e-09,-2.1756006781352512e-10,-3.107841378011044e-11
2.25,2.736030109166613e-09,2.6097364283121447e-09,2.5428903601929933e-09,5.739484877266552e-09,2.404877493115476e-09,-2.1180195593487447e-10,-7.070449642721973e-11
